123,2,21,1
114,2,5,1
77,34,7,1
118,5,25,1
40,11,30,1
93,9,28,1
114,15,21,1
31,13,27,1
75,20,28,1
58,32,25,1
83,25,21,1
14,8,15,1
65,27,27,1
69,18,28,1
82,5,29,1
55,43,22,1
92,31,26,1
33,48,16,1
42,69,6,1
63,53,13,1
19,21,17,1
65,35,29,1
110,33,16,1
30,56,5,1
53,53,19,1
88,49,19,1
74,45,23,1
56,58,19,1
45,61,9,1
26,46,16,1
98,11,11,1
56,34,22,1
121,17,5,1
133,18,11,1
107,29,23,1
82,54,17,1
85,31,17,1
55,33,19,1
22,43,13,1
98,3,7,1
125,9,9,1
103,40,15,1
89,52,16,1
40,74,9,1
95,38,9,1
79,58,13,1
71,67,13,1
131,24,9,1
111,29,7,1
27,43,11,1
65,36,21,1
91,31,8,1
120,20,6,1
108,21,10,1
76,73,11,1
35,48,4,1
118,2,23,1
26,449,22,2
44,374,17,2
29,433,25,2
40,451,12,2
19,358,10,2
3,363,6,2
46,358,7,2
15,359,5,2
35,378,13,2
51,588,24,3
3,559,22,3
20,662,25,3
10,566,30,3
33,647,26,3
39,620,29,3
70,583,24,3
29,605,30,3
21,538,8,3
29,666,18,3
55,580,17,3
24,644,27,3
36,667,16,3
13,652,9,3
56,627,22,3
51,638,20,3
47,649,16,3
37,670,21,3
52,596,18,3
74,598,5,3
38,693,16,3
14,657,10,3
27,648,7,3
54,556,9,3
56,556,8,3
90,704,12,4
81,650,6,4
156,721,8,4
138,630,20,4
108,623,10,4
132,701,27,4
145,577,12,4
203,660,8,4
17,732,7,4
142,730,13,4
58,782,7,4
126,739,9,4
4,743,7,4
114,627,10,4
157,654,15,4
67,652,6,4
60,787,6,4
198,646,6,4
7,916,3,5
2,856,23,5
3,868,14,5
35,853,5,5
5,852,11,5
42,895,7,5
10,914,7,5
34,865,24,5
2,858,16,5
2,860,22,5
2,864,23,5
15,940,30,5
3,826,16,5
8,928,30,5
36,951,21,5
2,833,16,5
34,860,15,5
34,958,24,5
45,918,18,5
16,866,24,5
50,923,12,5
11,932,30,5
37,862,15,5
9,848,17,5
25,855,22,5
26,844,18,5
55,820,11,5
24,850,14,5
5,942,20,5
4,932,30,5
28,958,27,5
36,865,18,5
25,864,23,5
23,864,17,5
31,812,10,5
14,965,29,5
6,979,25,5
61,896,8,5
34,862,22,5
5,937,27,5
4,847,21,5
37,866,22,5
14,845,19,5
26,868,23,5
23,840,7,5
17,863,26,5
44,942,10,5
48,912,10,5
33,875,24,5
49,915,9,5
40,928,24,5
56,877,13,5
54,877,15,5
45,850,15,5
29,827,15,5
8,870,11,5
21,839,16,5
25,814,7,5
62,868,10,5
49,937,13,5
51,825,7,5
43,882,10,5
19,822,10,5
44,862,10,5
2,836,8,5
58,846,13,5
30,808,10,5
46,805,10,5
28,877,7,5
63,887,11,5
51,914,7,5
16,845,10,5
31,863,16,5
7,821,10,5
28,859,10,5
38,836,10,5
33,874,5,5
16,825,12,5
50,819,5,5
31,864,7,5
46,863,16,5
34,865,5,5
54,826,7,5
64,878,12,5
55,904,9,5
20,812,12,5
42,872,5,5
36,903,5,5
20,841,8,5
33,916,4,5
53,863,7,5
55,808,7,5
60,830,9,5
55,807,9,5
45,931,8,5
20,841,20,5
28,847,12,5
22,832,11,5
58,856,9,5
51,858,6,5
56,821,5,5
56,830,12,5
45,808,5,5
36,849,13,5
17,985,22,6
370,903,28,6
374,912,18,6
372,1018,25,6
501,1017,6,6
260,933,8,6
395,1023,22,6
251,916,9,6
419,878,17,6
495,1006,5,6
